Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
176.662,201.7181,125.4073,2938.009,1215.306,-8.644,9.815,28.03916,48.7 yds,46.32228,-0.6891466,22.47241,176.9526,178.1266,DR,89.9138,-1.199,0,0,-1.199,0,0,0,0,0,0,1.394751
211.1374,229.6957,129.9259,2269.528,239.709,-5.211,15.211,36.58831,23.32 yds,82.60779,-10.27143,6.029263,211.3211,216.2063,DR,93.2804,-0.423,3.12,0,-0.423,0,0,0,0,0,0,1.392854
208.4512,222.2199,135.2588,3745.417,346.434,-0.78,12.078,40.17075,29.19 yds,84.37128,6.503262,5.284562,208.5492,210.2909,DR,95.11469,-0.516,3.474,0,-0.516,0,0,0,0,0,0,1.42206
216.9635,230.3629,134.9434,3021.778,-449.613,3.376,18.255,46.25798,20.31 yds,118.8302,-2.702987,-8.463,216.9724,221.7443,DR,92.90235,-0.085,5.316,0,-0.085,0,0,0,0,0,0,1.45253
224.8952,240.1689,136.7173,2623.247,307.124,-0.283,16.852,42.70565,16.2 yds,108.8505,10.9222,6.677664,225.0906,230.5042,DR,95.34286,-0.818,3.098,0,-0.818,0,0,0,0,0,0,1.433954
223.1911,243.9537,138.178,2291.765,-259.775,-1.736,12.066,33.00529,20.66 yds,72.57625,-16.88498,-6.46696,223.1771,228.5477,DR,95.06548,-2.233,0.219,0,-2.233,0,0,0,0,0,0,1.453504
209.4456,217.8011,135.9724,3718.281,1071.022,1.185,17.029,46.65833,50.76 yds,114.4958,33.95536,16.06864,209.6192,211.9346,DR,96.08328,-2.188,1.359,0,-2.188,0,0,0,0,0,0,1.415151
223.8498,237.0733,138.2429,2382.125,-243.046,-5.276,12.345,34.20234,35.75 yds,76.15305,-29.95505,-5.825676,223.9371,229.0704,DR,95.26456,-2.967,1.955,0,-2.967,0,0,0,0,0,0,1.451147
205.3665,218.9186,134.3752,3868.731,462.308,-0.759,11.857,39.70181,33.32 yds,82.12533,9.134663,6.814453,205.433,206.706,DR,93.21553,0.556,3.153,0,0.556,0,0,0,0,0,0,1.441554
223.0725,241.8294,140.9384,1608.7,-821.807,-4.644,13.563,29.86354,61.76 yds,67.7914,-52.26355,-27.06029,223.0668,230.5217,DR,96.95569,-1.221,4.627,0,-1.221,0,0,0,0,0,0,1.453637
226.8062,241.5031,141.4059,3096.781,-502.088,0.898,13.955,41.71489,18.53 yds,100.6809,-14.07025,-9.209355,226.852,231.4436,DR,94.12596,0.004,3.842,0,0.004,0,0,0,0,0,0,1.502305
223.6411,235.7727,139.632,2576.899,-637.695,-2.14,12.702,36.17424,38.62 yds,81.5566,-31.7019,-13.89952,223.6418,228.9239,DR,94.66506,-0.938,2.47,0,-0.938,0,0,0,0,0,0,1.475011
120.4701,146.4562,126.7562,909.099,1805.241,-1.334,9.152,12.54041,109.47 yds,18.04077,17.97949,63.27069,120.4142,122.7854,DR,83.90762,4.842,8.209,0,4.842,0,0,0,0,0,0,1.510664
200.7602,208.4333,136.8001,4602.299,1582.963,0.781,13.189,43.36518,60.18 yds,93.16062,36.74493,18.98068,200.7612,202.1511,DR,96.82819,-1.804,0.324,0,-1.804,0,0,0,0,0,0,1.412812
204.3217,232.6302,136.4802,1523.966,-747.641,-3.615,11.81,24.93778,54.34 yds,50.60548,-39.76013,-26.13206,204.3122,211.5059,DR,93.8374,-0.172,1.353,0,-0.172,0,0,0,0,0,0,1.454433
143.2777,151.0462,104.3152,5774.133,-136.4,-0.332,17.347,41.43565,8.5 ft,68.56328,-2.306498,-1.353223,143.4382,143.5291,I7,79.63506,1.689,-5.862,0,1.689,0,0,0,0,0,0,1.309916
146.7718,155.0936,107.8227,5952.918,-141.959,-1.39,13.822,37.58557,22.83 ft,58.92871,-5.094964,-1.366071,146.8067,146.7159,I7,80.74012,0.2,-8.113,0,0.2,0,0,0,0,0,0,1.33543
128.8246,139.8515,97.87283,5254.424,-429.206,-2.696,14.868,33.42364,15.17 yds,47.60591,-9.999069,-4.66982,128.8839,128.3541,I7,79.83192,-0.6,-7.607,0,-0.6,0,0,0,0,0,0,1.225986
145.0719,155.1841,109.4781,5535.051,854.159,-1.46,10.535,31.74111,25.1 ft,44.86296,5.459945,8.77258,145.111,144.7868,I7,80.14732,-4.815,-11.341,0,-4.815,0,0,0,0,0,0,1.365961
131.3568,143.4871,98.60432,4780.321,29.928,-3.301,14.858,32.73223,10.19 yds,47.87475,-7.26306,0.3587051,131.4108,130.9,I7,78.30185,-1.713,-7.29,0,-1.713,0,0,0,0,0,0,1.259285
147.3254,155.8191,106.3643,5421.394,334.785,-1.855,16.166,39.25088,18.49 ft,66.09352,-0.8373335,3.533674,147.4525,147.36,I7,82.28136,-1.561,-9.831,0,-1.561,0,0,0,0,0,0,1.29269
147.5842,156.2497,107.6415,5640.444,-21.58,-3.14,14.195,37.46454,10.85 yds,59.78091,-8.33417,-0.2192091,147.6854,147.6564,I7,80.34193,-1.933,-10.048,0,-1.933,0,0,0,0,0,0,1.339793
150.8393,162.0603,108.3507,5022.583,-98.661,-3.411,14.308,36.72903,16.32 yds,60.12815,-10.22578,-1.125344,150.8115,150.8169,I7,81.20763,-2.435,-11.744,0,-2.435,0,0,0,0,0,0,1.334242
158.437,166.5032,113.2048,5825.2,311.711,-0.345,15.136,41.79771,17.11 yds,73.30682,3.032544,3.06302,158.5349,158.7577,I7,82.63256,-1.17,-10.803,0,-1.17,0,0,0,0,0,0,1.369978
110.9177,136.1826,91.06806,3480.096,-486.042,-4.678,13.359,25.12549,22.66 yds,30.39309,-13.35282,-7.950694,110.8912,111.2008,I7,73.63559,-0.429,-10.102,0,-0.429,0,0,0,0,0,0,1.23674
148.812,158.5037,107.7623,5118.155,168.499,0.065,13.889,35.76579,27.41 ft,57.51118,2.229865,1.885601,148.8915,148.4875,I7,76.24162,0.85,-11.721,0,0.85,0,0,0,0,0,0,1.413432
